CHG_TICKET_ID,CHG_TITLE,CHG_TYPE,REQUEST_TEAM,REQUESTER_ID,APPROVER_ID,CHG_STATUS,PLANNED_DT,APPLIED_DT,ROLLBACK_YN,IMPACT_LEVEL,RELATED_DESC,TRIGGERED_BY_INCIDENT_ID
CHG_20260711_001,ITSM 통합관리대시보드 최초 구축,표준,정보화기획팀,USR_001,USR_001,완료,2026-07-11,2026-07-11,N,낮음,총 자산수 및 카테고리별 자산분포 막대바 및 변경/장애/구성관리 현황 스코어보드를 제공하는 정적 HTML 통합관리대시보드 최초 구축(상단 메뉴 이동은 구현됨; 각 메뉴 입력 화면은 placeholder이며 추후 설계 예정),
CHG_20260711_002,카테고리별 자산 현황 한글 라벨 적용 및 Streamlit 재배포,표준,정보화기획팀,USR_001,USR_001,완료,2026-07-11,2026-07-11,N,낮음,홈 화면(정적 HTML 버전 index.html + Streamlit 버전 홈.py) 카테고리별 자산 현황 막대바 라벨을 CI_CATEGORY 영문 코드에서 한글 표시명으로 변경(원본 CI_CATEGORY 값 자체는 유지). GitHub push 후 Streamlit Community Cloud 자동 재배포 완료(https://3zunafjfayrwlpemrembwh.streamlit.app/),
CHG_20260711_003,구성관리 페이지 3D 자산배치도·ERD 다이어그램 신설 및 개인정보처리방침 팝업 적용,표준,정보화기획팀,USR_001,USR_001,완료,2026-07-11,2026-07-11,N,낮음,"(1) 홈 대시보드 현황 패널에 최근 변경 요약(최신 CHANGE.csv 행의 제목/상세) 노출 추가(index.html/script.js/data.js + 홈.py). (2) 구성관리.html 상단에 CI.csv OWNER_TEAM 집계 기반 가상 5층 건물 3D 자산 배치도 신설(전산실 5층 고정), 하단에 CI 허브 ERD 다이어그램(CI/CHANGE/INCIDENT + CHANGE_CI_MAP/INCIDENT_CI_MAP) 신설. (3) 개인정보처리방침 본문을 개인정보처리방침.md로 작성하고, 4개 메뉴 페이지(index/변경관리/장애관리/구성관리) footer 링크를 팝업(모달)로 전환(policy-modal.js)",
CHG_20260711_004,홈 대시보드 최근 사항 3건(변경/자산등록/장애) 노출 및 장애 티켓 등록,표준,정보화기획팀,USR_001,USR_001,완료,2026-07-11,2026-07-11,N,낮음,홈 대시보드(index.html/script.js/data.js + 홈.py)의 단일 최근 변경 요약을 최근 사항 3건(변경/자산등록/장애)으로 확장. 각 행 클릭 시 세부사항 토글(정적 HTML)/expander(Streamlit). CHG_20260711_003 배포 중 발생한 CSV 파싱 장애(INC_20260711_001)를 INCIDENT.csv/INCIDENT_CI_MAP.csv에 정식 등록.,
CHG_20260711_005,Streamlit 구성관리 페이지에 3D 자산배치도·ERD 다이어그램 임베딩,표준,정보화기획팀,USR_001,USR_001,완료,2026-07-11,2026-07-11,N,낮음,"pages/3_구성관리.py에 st.components.v1.html로 구성관리.html의 자산배치도(3D)/ERD 두 패널을 그대로 임베딩(구성관리.html+style.css를 원본으로 재사용, 내용 중복 없음). ERD 박스 높이가 좁은 컨테이너 폭에서 텍스트가 잘리는 문제 발견해 erd-wrap 세로 비율을 46%->58%로 확대해 수정. ERD 원본 PDF 링크를 상대경로에서 GitHub 절대경로로 변경(iframe 내부에서도 동작하도록).",
CHG_20260711_006,Streamlit 홈 화면 개인정보처리방침 링크 미작동 수정,표준,정보화기획팀,USR_001,USR_001,완료,2026-07-11,2026-07-11,N,낮음,"CHG_20260711_003에서 개인정보처리방침 본문(개인정보처리방침.md)과 정적 HTML 팝업(policy-modal.js)을 만들었지만 Streamlit 버전 홈.py 하단은 st.caption 고정 문구(원고 준비 후 연결 예정)로 남아있어 클릭해도 아무 동작이 없었음(실제 배포판에서 발견). st.dialog 데코레이터로 개인정보처리방침.md 본문을 그대로 렌더링하는 팝업을 만들고, 캡션을 st.button으로 교체해 클릭 시 열리도록 수정. 로컬 streamlit run으로 버튼 렌더링 확인.",
CHG_20260711_007,AI활성화진흥공단 로고 반영(상단 네비게이션+하단 푸터) 및 홈 화면 업무보고 링크 간소화,표준,정보화기획팀,USR_001,USR_001,완료,2026-07-11,2026-07-11,N,낮음,"RAW/logo.jpeg(공단 로고)를 Pillow로 배경 제거·크롭해 아이콘용(logo-mark)/전체 로고용(logo-full) PNG 생성. nav.js가 모든 페이지 상단 메뉴바 브랜드 옆에 아이콘을, 하단 footer에 전체 로고(다크모드 대비 크림색 배지 처리)를 자동 삽입하도록 수정(페이지별 HTML 수정 불필요). Streamlit 버전은 st.logo()로 동일 반영, 배경 있는 플랫 버전(logo-full-flat/logo-mark-flat) 별도 제작. 홈 화면 하단에 있던 경영관리 업무보고 카드 목록은 과했다는 피드백에 따라 제목+링크만 있는 단순 목록으로 축소.",
CHG_20260711_008,상단 네비게이션 로고 아이콘 크기 확대(메뉴 프레임에 맞춤),표준,정보화기획팀,USR_001,USR_001,완료,2026-07-11,2026-07-11,N,낮음,CHG_20260711_007에서 반영한 로고 아이콘이 너무 작다는 피드백에 따라 .navbar .brand-mark 높이를 28px에서 48px로 확대하고 .navbar 상하 패딩을 12px에서 8px로 줄여 메뉴 프레임과 시각적으로 맞춤(style.css).,
CHG_20260711_009,Streamlit 구성관리 화면에 CI 카테고리별 조회 + 추가/삭제 기능 구현,표준,정보화기획팀,USR_001,USR_001,완료,2026-07-11,2026-07-11,N,중간,"pages/3_구성관리.py에 카테고리 선택(selectbox) -> 해당 카테고리 CI 목록 조회(st.dataframe), CI 추가(폼)/삭제(선택+확인) 기능을 구현. CI.csv를 실제로 직접 읽고 쓰며(pandas to_csv, 안전한 콤마 이스케이프 확인됨), 3_구성관리/구성이력/CI_HISTORY.csv를 신설해 추가/삭제 이력을 기록. 홈.py의 구성관리(추가)/(삭제) 스코어보드 지표가 그동안 이력 미설계로 0/4 고정이었던 문제를 CI_HISTORY.csv 집계로 대체해 해결. 카테고리 한글 라벨(CATEGORY_LABELS_KO)은 홈.py와 중복되지 않도록 labels.py로 공통 분리. 정적 HTML 버전은 대상에서 제외(Streamlit 전용).",
CHG_20260711_010,상단 네비게이션 로고를 아이콘 단독에서 아이콘+기관명 와이드 로고로 교체(가독성 개선),표준,정보화기획팀,USR_001,USR_001,완료,2026-07-11,2026-07-11,N,낮음,"CHG_20260711_008에서 48px로 키운 아이콘 단독 로고도 가독성이 부족하다는 피드백에 따라, 아이콘+한글 기관명(AI활성화진흥공단) 와이드 크롭(logo-nav.png, 755x180)을 새로 제작해 폭 420px(반응형 max-width 46vw)로 표시. 다크모드 대비 크림색 배지 배경 유지.",
CHG_20260711_011,Streamlit 배포판 상단 로고를 폭 420px로 확대(st.image 직접 사용),표준,정보화기획팀,USR_001,USR_001,완료,2026-07-11,2026-07-11,N,중간,"CHG_20260711_007/008/010에서 정적 HTML 버전의 상단 로고만 계속 키웠을 뿐 Streamlit 배포판(st.logo() 사용, small/medium/large만 지원해 400px 이상 불가능)은 전혀 반영되지 않아, 실제 사용자가 보는 화면(Streamlit)에서는 3차례 요청에도 변화가 없었던 장애 발생(INC_20260711_002). st.logo()는 사이드바용으로 유지하고, 본문 상단에 st.image(logo-nav-flat.png, width=420)를 추가로 노출해 요구사항(폭 400px 이상)을 충족. 홈.py 및 pages/1~3 전체 페이지에 동일 반영.",
CHG_20260711_012,패널 제목(panel-title) 글씨 크기 확대 및 좌측정렬 명시,표준,정보화기획팀,USR_001,USR_001,완료,2026-07-11,2026-07-11,N,낮음,"구성관리 페이지의 ""자산 배치도""/""데이터 모델 ERD"" 등 중제목이 잘 안보인다는 피드백에 따라 .panel-title 폰트 크기를 13px->18px, font-weight 600->700, 색상을 text-secondary->text-primary로 변경하고 text-align:left를 명시. 공통 클래스라 정적 HTML 전 페이지 및 Streamlit iframe 임베딩에도 함께 반영됨.",
CHG_20260711_013,패널 테두리(--border) 진하게 하여 박스 구분감 강화,표준,정보화기획팀,USR_001,USR_001,완료,2026-07-11,2026-07-11,N,낮음,"패널/카드 테두리가 너무 옅어(opacity 0.10) 화면이 휑해보인다는 피드백에 따라 --border 변수의 불투명도를 라이트 0.10->0.22, 다크 0.10->0.24로 상향. 공통 변수라 모든 패널/버튼/스탯타일/모달에 일괄 반영됨.",
